fdid,path,status,error,detail,chunked,skel,n_vertices,n_bones,n_sequences,n_skins,n_lod_skins,n_particles,checks_failed
116902,cameras/flybybloodelf.m2,ok,,,1,0,0,1,1,1,0,0,
116903,cameras/flybydraenei.m2,ok,,,1,0,0,1,1,1,0,0,
116904,cameras/flybydwarf.m2,ok,,,1,0,0,1,1,1,0,0,
116905,cameras/flybygnome.m2,ok,,,1,0,0,1,1,1,0,0,
116906,cameras/flybyhuman.m2,ok,,,1,0,0,1,1,1,0,0,
116907,cameras/flybynightelf.m2,ok,,,1,0,0,1,1,1,0,0,
116908,cameras/flybyorc.m2,ok,,,1,0,0,1,1,1,0,0,
116909,cameras/flybysunwell5man.m2,ok,,,1,0,0,1,1,1,0,0,
116910,cameras/flybytauren.m2,ok,,,1,0,0,1,1,1,0,0,
116911,cameras/flybytroll.m2,ok,,,1,0,0,1,1,1,0,0,
116912,cameras/flybyundead.m2,ok,,,1,0,0,1,1,1,0,0,
116913,cameras/orcintro01.m2,ok,,,1,0,0,1,1,1,0,0,
116914,cameras/orcintro02.m2,ok,,,1,0,0,1,1,1,0,0,
116915,cameras/orcintro03.m2,ok,,,1,0,0,1,1,1,0,0,
116916,cameras/orcintro04.m2,ok,,,1,0,0,1,1,1,0,0,
116917,cameras/orcintro05.m2,ok,,,1,0,0,1,1,1,0,0,
116918,cameras/orcintro06.m2,ok,,,1,0,0,1,1,1,0,0,
116919,cameras/palantirofazora.m2,ok,,,1,0,0,1,1,1,0,0,
116920,cameras/scry_cam.m2,ok,,,1,0,0,1,1,1,0,0,
116921,character/bloodelf/female/bloodelffemale.m2,ok,,,1,0,8061,119,339,2,0,0,
117170,character/bloodelf/male/bloodelfmale.m2,ok,,,1,0,7381,117,343,2,0,0,
117400,character/broken/female/brokenfemale.m2,ok,,,1,0,1136,35,126,1,0,0,
117412,character/broken/male/brokenmale.m2,ok,,,1,0,6997,130,132,1,3,0,
117437,character/draenei/female/draeneifemale.m2,ok,,,1,0,6355,222,313,4,0,0,
117721,character/draenei/male/draeneimale.m2,ok,,,1,0,9281,225,312,4,0,0,
118135,character/dwarf/female/dwarffemale.m2,ok,,,1,0,8466,177,310,4,0,0,
118355,character/dwarf/male/dwarfmale.m2,ok,,,1,0,6243,139,310,3,0,0,
118652,character/felorc/female/felorcfemale.m2,ok,,,1,0,2999,129,135,2,0,0,
118653,character/felorc/male/felorcmale.m2,ok,,,1,0,3099,121,163,2,0,0,
118654,character/felorc/male/felorcmaleaxe.m2,ok,,,1,0,2201,116,135,2,0,0,
118667,character/felorc/male/felorcmalesword.m2,ok,,,1,0,2248,116,135,2,0,0,
118798,character/foresttroll/male/foresttrollmale.m2,ok,,,1,0,3591,128,197,2,0,0,
119063,character/gnome/female/gnomefemale.m2,ok,,,1,0,6960,158,308,4,0,0,
119159,character/gnome/male/gnomemale.m2,ok,,,1,0,5729,152,307,4,0,0,
119369,character/goblin/female/goblinfemale.m2,ok,,,1,0,109532,213,297,1,3,0,
119376,character/goblin/male/goblinmale.m2,ok,,,1,1,110613,201,297,1,3,0,
119563,character/human/female/humanfemale.m2,ok,,,1,0,6707,156,373,4,0,0,
119940,character/human/male/humanmale.m2,ok,,,1,0,3501,215,371,4,0,0,
120263,character/naga_/female/naga_female.m2,ok,,,1,0,18003,112,67,4,3,0,
120294,character/naga_/male/naga_male.m2,ok,,,1,0,17421,101,56,1,3,0,
120590,character/nightelf/female/nightelffemale.m2,ok,,,1,0,7046,227,341,4,0,0,
120791,character/nightelf/male/nightelfmale.m2,ok,,,1,0,5432,213,338,4,0,0,
121087,character/orc/female/orcfemale.m2,ok,,,1,0,1157,227,311,1,0,0,
121287,character/orc/male/orcmale.m2,ok,,,1,0,1049,224,316,1,0,0,
